F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,CLAIMNO
F,10,10,2,M1,S3,M1,L4,B,0,1.00,0
F,2,14,2,M2,S3,M1,L2,B,0,1.00,0
P,7,6,3,M2,S5,M1,L1,D,0,1.00,0
P,3,0,2,M2,S5,M1,L3,D,0,1.00,0
P,5,2,2,M1,S1,M1,L3,D,1,1.00,0
F,2,2,2,C,S3,M1,L1,B,1,0.93,0
F,9,14,2,M1,S1,M1,L2,D,0,229.52,10
F,7,6,2,M1,S1,M1,L2,D,0,179.16,4
F,1,10,3,M1,S1,M1,L2,B,0,11.02,0
F,9,14,2,C,S1,M0,L2,B,0,148.49,3
F,1,0,2,M1,S2,M2,L2,B,0,227.82,3
F,2,10,2,M1,S1,M1,L2,B,0,571.25,18
F,2,10,2,M1,S1,M2,L2,D,0,57.17,2
F,1,4,2,H1,S3,M3,L2,D,1,21.40,0
F,3,2,2,M1,S3,M1,L1,B,0,99.79,2
F,7,14,3,M1,S1,M1,L2,B,0,1.86,0
F,2,8,2,H2,S1,M3,L2,D,0,7.00,0
F,8,4,2,M2,S1,M2,L3,D,1,6.63,1
F,4,14,2,M1,S1,M2,L2,D,0,10.12,1
F,1,14,2,C,S3,M0,L4,B,0,36.57,0
F,8,10,2,M2,S2,M3,L1,B,0,2.00,0
F,13,10,3,M2,S1,M1,L2,D,0,6.27,1
F,1,10,2,H2,S2,M3,L1,D,0,35.85,0
F,10,2,2,M2,S1,M3,L2,D,0,1.61,0
F,2,4,2,H1,S1,M2,L3,D,0,19.70,1
F,5,2,2,M1,S1,M1,L3,D,3,1.70,0
P,1,4,2,M2,S5,M2,L1,D,0,6.00,0
F,1,0,2,M2,S2,M1,L1,E,4,20.56,0
F,12,4,2,H1,S1,M2,L3,D,2,0.93,0
P,1,0,2,M2,S1,M2,L1,D,5,0.32,0
F,7,10,2,H2,S1,M3,L2,D,0,5.91,0
F,1,0,2,M2,S1,M1,L2,E,1,2.00,0
F,11,10,3,M1,S0,M1,L1,D,0,1.00,0
F,9,2,2,M1,S1,M1,L2,B,0,131.85,5
F,13,20,2,C,S2,M1,L1,D,0,6.00,0
F,9,6,2,H1,S0,M2,L2,D,0,2.44,0
F,3,6,2,M1,S3,M1,L3,B,0,4.00,0
F,1,10,3,M1,S2,M1,L3,D,0,22.49,1
F,9,4,2,M1,S2,M1,L3,B,0,6.00,1
F,11,14,3,M2,S2,M1,L2,D,0,11.93,0
F,2,6,3,M2,S1,M1,L1,D,0,5.46,1
F,2,0,2,M1,S3,M1,L2,D,2,2.00,0
F,14,8,2,M1,S1,M2,L2,B,2,0.70,0
F,9,20,2,M2,S0,M2,L2,B,0,1.00,0
F,5,6,2,M1,S2,M1,L1,D,0,22.24,0
F,4,8,2,M2,S1,M3,L2,D,0,1.90,0
F,1,4,2,M1,S2,M0,L2,B,1,7.00,0
F,1,0,2,H1,S2,M3,L1,D,4,8.15,0
F,10,6,2,H1,S1,M3,L1,B,0,0.39,0
P,9,0,2,M1,S3,M1,L2,B,0,2.00,0
F,9,4,2,H1,S1,M2,L2,D,1,6.48,0
F,2,6,2,H2,S2,M3,L3,D,2,2.00,0
F,7,2,2,M2,S3,M1,L2,D,0,2.52,1
F,2,0,2,H1,S2,M2,L1,D,2,6.00,0
F,6,2,2,M1,S2,M1,L3,D,1,1.77,0
F,8,20,2,M1,S1,M1,L2,D,0,13.59,0
P,2,0,2,M2,S1,M2,L1,D,2,3.41,0
F,15,6,2,M2,S1,M3,L2,B,0,0.32,0
F,1,8,3,M2,S2,M1,L4,D,0,5.88,0
F,2,2,2,M2,S3,M1,L2,E,2,1.00,0
F,3,0,2,M2,S2,M2,L1,B,5,2.00,0
F,14,10,2,M2,S3,M2,L1,D,1,1.00,0
F,9,2,3,M2,S1,M2,L1,D,0,2.00,0
P,6,6,2,M1,S1,M1,L1,B,0,2.00,0
F,10,4,1,M1,S1,M0,L1,E,0,1.00,0
F,3,14,2,M1,S0,M1,L2,D,0,2.30,0
F,2,10,2,M1,S2,M1,L3,B,0,22.20,3
P,12,8,2,M1,S5,M1,L2,B,0,3.00,0
F,14,2,2,M2,S0,M2,L1,B,0,1.00,0
F,8,10,2,M1,S0,M1,L1,D,0,3.31,0
F,13,10,2,M1,S1,M2,L1,D,0,4.00,0
F,9,2,2,M1,S2,M2,L2,B,0,3.00,1
F,14,14,2,M1,S2,M2,L4,D,0,1.00,0
F,10,14,2,M2,S0,M2,L2,D,1,2.46,0
F,2,10,3,M2,S1,M2,L3,D,0,2.95,0
F,14,6,2,M1,S2,M2,L2,B,0,1.81,0
P,2,4,2,H1,S2,M2,L3,D,3,1.00,0
F,5,8,2,M2,S2,M1,L3,D,0,4.00,0
P,14,0,3,H2,S5,M3,L1,D,0,3.00,1
F,3,8,3,M2,S1,M2,L2,B,0,5.00,1
F,2,10,2,M1,S1,M1,L2,D,1,2.77,0
F,1,8,3,M2,S1,M1,L3,D,0,9.16,1
F,14,2,2,M1,S0,M2,L2,D,0,1.84,0
F,3,6,2,M1,S0,M1,L3,D,0,1.00,0
F,3,14,2,H1,S1,M2,L1,D,0,2.39,0
F,1,0,2,H1,S2,M2,L1,B,2,4.41,0
F,10,2,2,M1,S3,M1,L1,B,1,2.00,0
F,4,6,2,C,S3,M0,L2,B,0,4.00,0
F,15,2,2,M1,S3,M1,L2,B,0,3.00,4
F,7,2,2,H1,S3,M2,L3,D,1,0.34,0
F,14,6,2,H1,S0,M2,L2,D,1,2.62,0
P,3,4,3,M2,S5,M1,L2,D,0,1.00,0
P,7,10,2,M1,S5,M1,L2,B,0,1.25,0
F,2,14,2,C,S2,M1,L2,D,0,14.49,0
P,1,0,3,H2,S5,M3,L3,D,3,1.00,0
F,3,2,2,H2,S2,M3,L2,B,0,1.00,0
F,5,6,2,C,S3,M1,L1,B,0,8.84,0
P,4,4,2,M2,S2,M2,L2,D,0,4.76,0
F,8,6,2,M1,S2,M1,L4,B,0,2.00,0
F,2,20,2,H2,S2,M2,L1,B,0,1.00,0
F,5,6,2,H1,S2,M3,L1,D,0,2.00,1
F,2,4,2,M2,S1,M3,L3,D,0,4.21,0
F,11,6,2,H1,S0,M2,L1,D,0,1.00,0
P,6,2,2,M1,S1,M1,L2,B,1,1.00,0
F,12,10,2,M2,S1,M3,L2,B,2,0.71,0
P,13,4,2,H1,S5,M2,L2,D,0,2.19,0
F,1,20,1,M1,S3,M1,L1,B,0,2.00,0
P,11,0,2,H2,S5,M3,L1,D,2,1.00,0
F,7,6,2,M2,S3,M2,L1,D,2,1.00,0
P,5,2,2,M2,S1,M2,L1,D,0,1.00,0
F,7,2,3,H1,S3,M3,L3,D,2,1.00,0
P,10,10,2,M1,S5,M1,L4,B,0,1.00,0
P,1,10,2,H2,S5,M2,L2,D,1,1.80,0
F,9,14,2,C,S1,M0,L1,D,0,2.00,0
F,11,20,2,H2,S3,M3,L1,B,0,2.20,0
P,11,2,2,M2,S1,M1,L2,D,0,2.17,0
F,14,2,2,M2,S0,M3,L2,B,0,0.41,0
F,2,14,2,H1,S1,M2,L3,D,0,2.00,0
F,1,0,2,M2,S1,M1,L1,E,1,1.00,0
F,11,10,2,M2,S2,M2,L4,D,0,2.60,0
F,3,20,2,M2,S1,M2,L1,D,0,2.00,0
F,12,10,2,H1,S0,M2,L3,D,1,1.00,0
P,3,14,3,M2,S5,M1,L1,D,0,1.00,0
F,9,0,2,M1,S0,M2,L2,B,0,2.00,0
F,4,0,2,M1,S1,M1,L1,D,3,1.90,0
F,5,8,2,H1,S1,M2,L1,D,0,2.00,1
F,3,4,2,M1,S3,M2,L2,D,1,1.00,0
F,13,0,2,M1,S2,M1,L2,D,1,1.00,0
F,11,0,2,H1,S1,M2,L4,D,0,1.00,0
F,10,2,1,H2,S1,M3,L2,B,0,1.00,0
F,2,20,2,H2,S3,M3,L2,D,0,0.16,0
F,5,10,1,H1,S1,M2,L2,B,0,1.00,0
F,1,2,2,H1,S3,M3,L3,D,1,2.58,0
F,14,4,2,H2,S0,M3,L2,D,1,0.08,0
F,5,6,3,M2,S2,M2,L2,B,0,1.00,0
F,9,4,2,M2,S0,M1,L1,D,1,1.00,0
F,7,6,2,M2,S3,M2,L3,D,1,1.00,0
F,10,4,2,M1,S2,M1,L2,B,1,3.00,1
F,1,14,2,M1,S3,M2,L2,D,1,1.00,0
F,8,4,2,H2,S1,M3,L3,D,0,0.75,0
F,2,6,2,H1,S3,M2,L2,D,4,0.77,0
F,4,20,2,M2,S1,M1,L1,D,0,2.00,0
P,12,4,2,M2,S5,M2,L2,D,1,1.00,0
P,10,0,3,M2,S1,M2,L1,B,3,1.00,0
P,5,4,2,M2,S5,M1,L1,D,0,0.23,0
P,14,0,2,M2,S1,M2,L2,D,1,1.00,0
F,4,4,2,M1,S5,M2,L3,B,1,1.00,0
F,6,6,3,M2,S2,M1,L2,E,1,1.00,0
F,7,2,2,H1,S1,M2,L2,E,2,1.00,0
F,6,0,3,M2,S2,M2,L1,D,0,1.00,0
P,14,2,2,M2,S1,M2,L2,B,2,0.31,0
F,10,10,3,M2,S0,M2,L2,D,0,1.00,0
F,1,2,2,M2,S2,M3,L3,B,0,0.68,0
F,10,10,2,M2,S1,M3,L2,D,0,0.88,0
P,10,10,3,M1,S5,M1,L2,D,0,1.00,0
F,13,6,1,H2,S2,M3,L1,B,0,0.80,0
F,14,4,2,C,S2,M2,L2,B,0,0.12,0
F,8,2,2,M2,S2,M2,L1,D,2,1.00,0
F,11,8,2,M2,S5,M2,L1,D,0,0.34,0
P,4,8,3,H2,S5,M2,L3,D,0,1.00,0
F,1,0,2,H1,S1,M2,L1,B,3,1.00,0
F,4,10,1,H2,S2,M3,L1,B,1,0.55,0
F,8,14,1,M1,S3,M2,L1,B,0,1.00,0
F,11,14,3,M2,S2,M2,L4,D,0,0.96,0
P,9,6,2,M2,S1,M2,L2,D,0,1.00,0
F,1,0,2,H2,S3,M3,L2,B,4,1.00,0
P,14,14,2,M1,S1,M0,L2,D,0,0.25,0
F,12,10,2,C,S2,M0,L2,D,0,2.00,0
F,1,4,2,H2,S3,M2,L2,E,1,1.00,0
F,8,2,2,M2,S2,M2,L2,D,2,1.00,0
F,12,2,2,M2,S2,M2,L2,D,1,1.00,0
P,8,0,2,M1,S1,M1,L2,B,0,2.00,0
F,1,4,3,C,S1,M1,L2,E,0,1.00,0
F,1,8,2,M2,S3,M2,L1,B,4,1.00,0
F,9,10,2,M1,S0,M1,L4,D,0,0.69,0
P,13,8,2,H2,S5,M3,L1,D,1,1.00,0
P,1,8,2,M2,S3,M2,L1,D,0,1.00,0
F,10,8,2,M2,S0,M2,L3,D,1,1.00,0
P,3,6,2,M2,S5,M1,L2,D,1,1.00,0
P,3,4,2,M1,S5,M1,L1,B,0,1.00,0
F,1,0,2,M1,S2,M1,L4,D,1,0.62,0
F,7,4,3,M2,S1,M2,L2,D,2,1.00,0
F,3,8,3,M2,S3,M2,L3,D,0,1.00,0
F,8,14,2,H1,S3,M2,L2,B,0,1.00,0
F,2,0,2,H1,S3,M3,L1,B,2,1.00,0
F,8,10,2,M2,S1,M2,L3,B,0,1.00,0
F,1,0,2,M1,S5,M1,L1,E,0,1.00,0
F,5,20,1,M1,S3,M2,L2,B,0,1.00,0
F,4,10,2,M2,S1,M1,L2,D,0,106.74,1
F,2,10,2,M2,S1,M2,L1,D,0,54.81,1
F,5,14,1,M2,S1,M2,L2,B,0,0.93,0
F,1,8,2,H1,S2,M2,L2,D,1,88.32,1
F,13,14,2,C,S1,M0,L2,B,0,101.42,6
F,14,10,2,M1,S1,M2,L1,B,0,9.47,0
F,3,10,2,C,S3,M1,L1,B,0,74.54,3
F,3,0,2,M2,S1,M2,L2,D,0,18.00,0
F,5,14,2,M2,S1,M1,L3,D,0,1.88,0
F,1,8,2,H1,S1,M3,L2,D,0,29.64,3
F,5,14,2,C,S1,M0,L1,B,0,118.07,2
P,3,4,2,M1,S2,M1,L1,B,0,2.00,0
P,10,6,3,M2,S5,M1,L2,D,0,4.00,0
F,4,4,2,M1,S1,M1,L3,B,0,9.00,1
F,10,6,2,M2,S1,M1,L2,D,1,7.87,0
F,4,4,2,M2,S1,M2,L2,D,2,4.78,0
P,9,4,2,H2,S5,M3,L2,D,0,1.00,0
