F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE
F,9,6,2,M2,S1,M2,L4,D,0,4.00
F,5,14,2,M1,S3,M2,L2,D,0,2.00
F,7,10,3,M2,S2,M1,L1,D,0,1.00
F,14,20,2,C,S0,M2,L1,E,0,1.10
P,1,8,2,M1,S5,M2,L2,D,0,5.00
F,6,20,2,C,S1,M0,L4,B,0,3.00
F,1,0,2,M2,S2,M2,L2,B,4,3.00
F,3,6,2,M1,S1,M0,L3,D,0,1.34
F,14,14,2,H1,S3,M3,L2,D,0,1.00
F,14,8,2,M1,S0,M1,L3,D,0,2.23
P,10,4,2,M1,S5,M1,L3,D,0,7.49
F,1,4,3,H1,S2,M2,L2,D,1,3.12
F,12,4,2,H1,S1,M2,L2,E,1,0.85
F,7,10,3,M2,S1,M2,L1,D,0,3.00
F,6,2,2,M2,S1,M1,L4,D,2,0.68
F,8,2,2,M1,S1,M1,L2,B,2,4.00
P,7,10,2,M1,S5,M1,L2,D,0,4.81
F,1,2,2,M2,S5,M2,L2,D,0,3.00
F,2,4,2,M2,S3,M1,L1,B,0,1.00
P,2,6,3,M2,S1,M2,L2,D,0,1.00
P,11,10,2,M1,S1,M1,L2,D,0,1.49
P,5,4,3,M2,S1,M1,L3,D,0,1.00
F,11,10,2,H1,S3,M2,L1,D,0,0.50
F,10,10,2,M2,S2,M2,L3,D,0,5.53
F,9,0,2,H2,S5,M3,L3,D,3,0.30
F,5,0,2,M2,S2,M2,L2,D,1,1.93
F,2,6,2,M2,S1,M2,L4,D,1,1.00
P,6,2,2,M1,S1,M2,L1,B,0,2.00
F,3,4,2,M2,S2,M1,L3,B,0,1.00
P,13,0,2,C,S5,M1,L2,B,1,1.73
F,11,10,2,H1,S2,M3,L2,B,2,1.27
F,2,6,2,H1,S2,M3,L2,D,1,5.00
P,5,6,2,M1,S1,M2,L3,B,0,0.32
P,13,14,2,M1,S1,M1,L2,B,0,2.63
P,1,10,1,H1,S2,M3,L1,B,0,1.00
F,13,20,2,M1,S5,M1,L2,B,0,1.00
P,3,6,2,M1,S5,M2,L2,D,2,1.00
F,1,14,3,C,S2,M1,L1,D,0,1.90
F,6,8,2,M2,S2,M2,L3,D,1,1.00
P,1,0,2,M1,S5,M2,L1,B,3,1.00
F,7,14,2,H1,S1,M2,L2,B,0,2.40
F,1,10,1,H2,S1,M3,L2,B,1,2.00
F,1,20,2,H1,S2,M2,L1,D,0,1.25
F,13,20,2,M2,S3,M1,L1,D,0,3.00
P,4,0,2,M2,S5,M2,L1,B,2,0.66
F,13,4,2,M2,S2,M1,L1,D,0,1.00
F,3,10,2,M2,S2,M2,L3,B,0,1.00
F,8,2,2,M1,S1,M0,L1,B,0,1.00
P,10,8,2,M1,S1,M1,L2,B,0,1.43
F,14,4,2,C,S2,M0,L1,B,0,0.85
F,11,14,2,H1,S2,M3,L2,B,0,5.00
F,12,20,2,M1,S0,M0,L1,B,0,2.00
F,7,6,2,H1,S1,M3,L3,D,0,0.08
F,12,20,3,M1,S1,M1,L1,D,0,1.00
F,2,0,3,M1,S1,M1,L1,D,0,1.00
F,7,14,2,M2,S2,M1,L1,D,0,5.10
P,8,6,3,H1,S5,M2,L4,D,0,1.00
F,14,10,2,M2,S2,M1,L2,B,0,0.94
F,7,2,2,M1,S2,M2,L2,D,0,1.00
F,3,4,3,H1,S2,M2,L2,D,0,1.00
F,8,8,2,H1,S1,M2,L2,D,1,3.00
F,11,8,2,M1,S1,M0,L1,D,0,0.70
F,9,20,3,M1,S3,M1,L2,D,0,2.00
P,1,4,2,M1,S3,M2,L2,D,0,2.00
P,5,8,2,M1,S1,M1,L2,D,0,0.75
F,6,10,3,H1,S1,M2,L3,B,0,0.50
F,9,2,3,M2,S5,M1,L3,D,0,1.00
P,12,2,2,H2,S5,M3,L2,D,4,1.00
F,2,8,2,H2,S2,M3,L4,D,2,1.00
F,10,8,3,M1,S1,M2,L2,B,0,1.00
F,14,0,2,M1,S1,M1,L2,D,1,0.93
P,6,0,2,M1,S5,M0,L2,B,0,2.00
F,6,10,2,H1,S1,M3,L1,D,0,2.52
P,3,0,2,H2,S5,M3,L1,D,0,0.24
F,2,0,2,H2,S2,M3,L1,D,0,1.00
F,2,0,2,H2,S1,M3,L1,D,2,3.00
F,15,6,2,M2,S3,M1,L3,D,0,1.00
F,6,4,2,M2,S1,M2,L2,B,0,1.00
P,11,6,2,M1,S5,M0,L2,D,0,1.00
F,11,0,2,H1,S0,M2,L1,D,1,1.00
P,14,10,3,M1,S5,M2,L3,D,0,0.15
F,10,14,2,H1,S2,M3,L2,B,0,1.21
F,14,0,2,M1,S2,M2,L1,B,0,4.00
F,9,20,2,M2,S2,M1,L1,B,0,2.00
F,12,10,2,H1,S1,M3,L1,D,1,0.95
F,1,0,3,M1,S2,M1,L2,B,2,1.00
F,3,0,1,H2,S2,M3,L1,B,1,0.11
F,5,4,2,M2,S1,M1,L1,B,0,0.55
P,1,8,2,H2,S2,M3,L2,B,0,1.00
F,12,14,2,H1,S1,M2,L4,D,0,1.00
F,5,6,2,M1,S3,M2,L2,B,0,2.00
P,1,0,2,M2,S2,M2,L1,B,5,1.00
F,5,10,3,M1,S2,M2,L2,D,0,3.00
P,9,20,2,M1,S2,M1,L1,B,0,0.81
F,14,0,2,M2,S3,M2,L2,D,0,1.00
F,12,2,2,M2,S0,M3,L2,B,1,1.00
P,7,4,2,M2,S3,M1,L2,D,0,1.00
F,1,6,2,H2,S3,M3,L2,D,2,1.00
F,14,0,2,H1,S1,M2,L2,D,4,0.41
F,4,2,2,M2,S2,M1,L2,B,2,1.00
F,9,6,3,M2,S1,M2,L1,D,0,1.00
F,2,14,2,C,S1,M1,L1,D,0,0.54
P,10,2,3,M2,S2,M1,L2,D,0,1.00
F,7,8,2,M2,S2,M1,L3,D,0,0.17
F,12,20,3,C,S3,M3,L1,B,0,1.00
F,2,2,2,M2,S3,M2,L2,B,1,1.00
P,11,4,3,M1,S5,M1,L3,D,0,1.00
F,5,14,3,M1,S3,M1,L1,D,0,1.00
F,9,14,2,M1,S3,M2,L2,B,0,0.97
F,1,0,3,M1,S2,M1,L2,D,0,1.00
F,15,14,2,M2,S1,M2,L4,B,0,1.00
F,1,6,3,H1,S1,M2,L2,D,1,1.00
F,14,4,2,M1,S2,M1,L1,B,1,1.00
P,9,0,2,H1,S5,M2,L1,D,2,1.00
